apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
01491,S,20200101,000005.00,00001.00,00001.00
01492,S,20200101,000015.50,00003.10,00003.10
01493,S,20200101,000025.50,00005.10,00005.10
01494,S,20200101,000035.50,00007.10,00007.10
01495,S,20200101,000045.50,00009.10,00009.10
01496,T,20200101,000005.00,00001.00,00001.00
01497,T,20200101,000015.50,00003.10,00003.10
01498,T,20200101,000025.50,00005.10,00005.10
01499,T,20200101,000035.50,00007.10,00007.10
01500,T,20200101,000045.50,00009.10,00009.10
01502,S,20200101,000075.50,00015.10,00015.10
01503,S,20200101,000150.50,00030.10,00030.10
01504,S,20200101,000250.50,00050.10,00050.10
01505,S,20200101,000350.50,00070.10,00070.10
01506,S,20200101,000450.50,00090.10,00090.10
01507,S,20200101,000550.50,00110.10,00110.10
01508,S,20200101,000650.50,00130.10,00130.10
01509,S,20200101,000750.50,00150.10,00150.10
01510,S,20200101,000850.50,00170.10,00170.10
01511,S,20200101,000950.50,00190.10,00190.10
01512,S,20200101,001050.50,00210.10,00210.10
01513,S,20200101,001150.50,00230.10,00230.10
01514,S,20200101,001250.50,00250.10,00250.10
01515,S,20200101,001350.50,00270.10,00270.10
01516,S,20200101,001450.50,00290.10,00290.10
01517,S,20200101,001550.50,00310.10,00310.10
01518,S,20200101,001650.50,00330.10,00330.10
01519,S,20200101,001750.50,00350.10,00350.10
01520,S,20200101,001850.50,00370.10,00370.10
01521,S,20200101,001950.50,00390.10,00390.10
01522,S,20200101,002250.50,00450.10,00450.10
01523,S,20200101,002750.50,00550.10,00550.10
01524,S,20200101,003250.50,00650.10,00650.10
01525,S,20200101,003750.50,00750.10,00750.10
01526,S,20200101,004250.50,00850.10,00850.10
01527,S,20200101,004750.50,00950.10,00950.10
01528,S,20200101,005250.50,01050.10,01050.10
01529,S,20200101,005750.50,01150.10,01150.10
01530,S,20200101,006250.50,01250.10,01250.10
01531,S,20200101,006750.50,01350.10,01350.10
01532,S,20200101,007250.50,01450.10,01450.10
01533,S,20200101,007750.50,01550.10,01550.10
01534,S,20200101,008250.50,01650.10,01650.10
01535,S,20200101,008750.50,01750.10,01750.10
01536,S,20200101,009250.50,01850.10,01850.10
01537,S,20200101,009750.50,01950.10,01950.10
01539,T,20200101,000075.50,00015.10,00015.10
01540,T,20200101,000150.50,00030.10,00030.10
01541,T,20200101,000250.50,00050.10,00050.10
01542,T,20200101,000350.50,00070.10,00070.10
01543,T,20200101,000450.50,00090.10,00090.10
01544,T,20200101,000550.50,00110.10,00110.10
01545,T,20200101,000650.50,00130.10,00130.10
01546,T,20200101,000750.50,00150.10,00150.10
01547,T,20200101,000850.50,00170.10,00170.10
01548,T,20200101,000950.50,00190.10,00190.10
01549,T,20200101,001050.50,00210.10,00210.10
01550,T,20200101,001150.50,00230.10,00230.10
01551,T,20200101,001250.50,00250.10,00250.10
01552,T,20200101,001350.50,00270.10,00270.10
01553,T,20200101,001450.50,00290.10,00290.10
01554,T,20200101,001550.50,00310.10,00310.10
01555,T,20200101,001650.50,00330.10,00330.10
01556,T,20200101,001750.50,00350.10,00350.10
01557,T,20200101,001850.50,00370.10,00370.10
01558,T,20200101,001950.50,00390.10,00390.10
01559,T,20200101,002250.50,00450.10,00450.10
01560,T,20200101,002750.50,00550.10,00550.10
01561,T,20200101,003250.50,00650.10,00650.10
01562,T,20200101,003750.50,00750.10,00750.10
01563,T,20200101,004250.50,00850.10,00850.10
01564,T,20200101,004750.50,00950.10,00950.10
01565,T,20200101,005250.50,01050.10,01050.10
01566,T,20200101,005750.50,01150.10,01150.10
