cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,ruralFloorWageIndex,imputedFloorWageIndex,name
01,20200101,00.6629,00.6629,00.6629,,
02,20200101,01.2624,01.2624,01.2624,,
03,20200101,01.0260,01.0260,00.9210,,
04,20200101,00.7380,00.7380,00.7380,,
05,20200101,01.3189,01.3189,01.2645,,
06,20200101,00.9971,00.9244,00.9971,,
07,20200101,01.2538,01.2538,01.0624,,
10,20200101,00.9485,00.9485,00.8128,,
11,20200101,00.7412,00.7412,00.7412,,
12,20200101,01.2699,01.2699,01.2147,,
13,20200101,00.7889,00.7889,00.7889,,
14,20200101,00.8259,00.8259,00.8270,,
15,20200101,00.8298,00.8298,00.8298,,
16,20200101,00.8334,00.8334,00.8334,,
17,20200101,00.7627,00.7627,00.7627,,
18,20200101,00.8039,00.8039,00.8039,,
19,20200101,00.7055,00.7055,00.7055,,
20,20200101,00.8623,00.8623,00.8623,,
21,20200101,00.8857,00.8857,00.8857,,
22,20200101,01.2722,01.2722,01.2324,,
23,20200101,00.8433,00.8433,00.8433,,
24,20200101,00.9081,00.8744,00.9081,,
25,20200101,00.7400,00.7400,00.7400,,
26,20200101,00.7821,00.7821,00.7821,,
27,20200101,01.0000,00.8609,01.0000,,
28,20200101,00.8826,00.8673,00.8826,,
29,20200101,01.0101,00.8857,01.0101,,
30,20200101,01.0420,01.0305,01.0420,,
32,20200101,00.8771,00.8771,00.8771,,
33,20200101,00.8618,00.8261,00.8618,,
34,20200101,00.7787,00.7787,00.7787,,
35,20200101,01.0000,00.8819,01.0000,,
36,20200101,00.8101,00.8101,00.8101,,
37,20200101,00.7739,00.7627,00.7739,,
38,20200101,01.0608,01.0506,01.0608,,
39,20200101,00.8019,00.8019,00.7936,,
40,20200101,00.3708,00.3708,00.3708,,
42,20200101,00.8225,00.8053,00.8225,,
43,20200101,01.0000,00.8064,01.0000,,
44,20200101,00.7064,00.7064,00.7064,,
45,20200101,00.8092,00.8092,00.8092,,
46,20200101,00.8789,00.8789,00.8789,,
47,20200101,00.9567,00.8817,00.9567,,
49,20200101,00.7604,00.7263,00.7604,,
50,20200101,01.0101,00.9555,01.0101,,
51,20200101,00.7302,00.7302,00.7302,,
52,20200101,00.8946,00.8921,00.8946,,
53,20200101,01.0000,00.9415,01.0000,,
98,20200101,01.9343,01.9343,00.0000,,
99,20200101,01.4448,01.4448,00.0000,,
10180,20200101,00.8587,00.8587,00.0000,,
10380,20200101,00.3103,00.3103,00.0000,,
10420,20200101,00.8203,00.8203,00.0000,,
10500,20200101,00.8002,00.8002,00.0000,,
10540,20200101,01.0915,01.0915,00.0000,,
10580,20200101,00.8289,00.8289,00.0000,,
10740,20200101,00.9051,00.9051,00.0000,,
10780,20200101,00.8557,00.8557,00.0000,,
10900,20200101,00.9842,00.9474,00.0000,,
11020,20200101,00.9160,00.9160,00.0000,,
11100,20200101,00.8430,00.8325,00.0000,,
11180,20200101,00.9171,00.8498,00.0000,,
11244,20200101,01.2258,01.2069,00.0000,,
11260,20200101,01.2136,01.2136,00.0000,,
11460,20200101,01.0106,00.9530,00.0000,,
11500,20200101,00.7837,00.7837,00.0000,,
11540,20200101,00.9339,00.9339,00.0000,,
11640,20200101,00.3560,00.3560,00.0000,,
11700,20200101,00.8814,00.8389,00.0000,,
12020,20200101,00.8796,00.8796,00.0000,,
12060,20200101,00.9253,00.9119,00.0000,,
12100,20200101,01.2186,01.1791,00.0000,,
12220,20200101,00.6732,00.6732,00.0000,,
12260,20200101,00.8724,00.8724,00.0000,,
12420,20200101,00.9293,00.9047,00.0000,,
12540,20200101,01.2154,01.2154,00.0000,,
12580,20200101,00.9501,00.9501,00.0000,,
12620,20200101,01.0542,01.0411,00.0000,,
12700,20200101,01.2758,01.2758,00.0000,,
12940,20200101,00.8026,00.8026,00.0000,,
12980,20200101,00.8948,00.8948,00.0000,,
13020,20200101,00.9637,00.9359,00.0000,,
13140,20200101,00.8512,00.8282,00.0000,,
13220,20200101,00.7721,00.7721,00.0000,,
13380,20200101,01.2090,01.2090,00.0000,,
13460,20200101,01.1310,01.1310,00.0000,,
13740,20200101,00.9212,00.9212,00.0000,,
13780,20200101,00.8643,00.8643,00.0000,,
13820,20200101,00.7796,00.7627,00.0000,,
13900,20200101,00.8896,00.8896,00.0000,,
13980,20200101,00.8414,00.7898,00.0000,,
14010,20200101,00.9160,00.8948,00.0000,,
14020,20200101,00.8819,00.8819,00.0000,,
14100,20200101,00.8912,00.8912,00.0000,,
14260,20200101,00.9668,00.9537,00.0000,,
14454,20200101,01.2624,01.2006,00.0000,,
14500,20200101,01.0133,01.0133,00.0000,,
14540,20200101,00.8119,00.8119,00.0000,,
14740,20200101,01.1115,01.0420,00.0000,,
14860,20200101,01.2563,01.2563,00.0000,,
15180,20200101,00.9018,00.9018,00.0000,,
15260,20200101,00.8037,00.7911,00.0000,,
15380,20200101,01.0402,00.9751,00.0000,,
15500,20200101,00.8378,00.8378,00.0000,,
15540,20200101,00.9917,00.9705,00.0000,,
15680,20200101,00.9447,00.9447,00.0000,,
15764,20200101,01.1163,01.1163,00.0000,,
15804,20200101,01.0662,01.0662,00.0000,,
15940,20200101,00.7963,00.7963,00.0000,,
15980,20200101,00.9494,00.9237,00.0000,,
16020,20200101,00.7864,00.7659,00.0000,,
16060,20200101,00.8250,00.8048,00.0000,,
16180,20200101,00.9923,00.9630,00.0000,,
16220,20200101,00.9514,00.9514,00.0000,,
16300,20200101,00.8634,00.8634,00.0000,,
16540,20200101,01.1005,01.0831,00.0000,,
16580,20200101,00.8848,00.8703,00.0000,,
16620,20200101,00.8218,00.8218,00.0000,,
16700,20200101,00.8740,00.8740,00.0000,,
16740,20200101,00.9401,00.9187,00.0000,,
16820,20200101,00.9370,00.9192,00.0000,,
16860,20200101,00.8478,00.8309,00.0000,,
16940,20200101,00.9293,00.9062,00.0000,,
16974,20200101,01.0337,01.0197,00.0000,,
17020,20200101,01.1188,01.1188,00.0000,,
17140,20200101,00.9164,00.9164,00.0000,,
17300,20200101,00.7586,00.7586,00.0000,,
17420,20200101,00.7534,00.7534,00.0000,,
17460,20200101,00.8819,00.8625,00.0000,,
17660,20200101,00.9471,00.9471,00.0000,,
17780,20200101,00.8753,00.8753,00.0000,,
17820,20200101,00.9413,00.9413,00.0000,,
17860,20200101,00.8433,00.8433,00.0000,,
17900,20200101,00.8587,00.8389,00.0000,,
17980,20200101,00.7968,00.7502,00.0000,,
18020,20200101,01.0301,01.0301,00.0000,,
18140,20200101,00.9359,00.9149,00.0000,,
18580,20200101,00.9180,00.8851,00.0000,,
18700,20200101,01.1197,01.1197,00.0000,,
18880,20200101,00.8566,00.8566,00.0000,,
19060,20200101,00.8550,00.8550,00.0000,,
19124,20200101,00.9655,00.9655,00.0000,,
19140,20200101,00.8394,00.8394,00.0000,,
19180,20200101,00.9291,00.9291,00.0000,,
19300,20200101,00.7400,00.7400,00.0000,,
19340,20200101,00.9047,00.8832,00.0000,,
19380,20200101,00.9291,00.9291,00.0000,,
19460,20200101,00.6773,00.6773,00.0000,,
19500,20200101,00.8566,00.8566,00.0000,,
19660,20200101,00.7861,00.7861,00.0000,,
19740,20200101,01.0021,01.0021,00.0000,,
19780,20200101,00.9183,00.9183,00.0000,,
19804,20200101,00.9025,00.9025,00.0000,,
20020,20200101,00.7073,00.7073,00.0000,,
20100,20200101,00.9903,00.9639,00.0000,,
20220,20200101,00.8798,00.8798,00.0000,,
20260,20200101,00.9926,00.9926,00.0000,,
20500,20200101,00.9715,00.9456,00.0000,,
20524,20200101,01.2538,01.2406,00.0000,,
20700,20200101,00.9887,00.9164,00.0000,,
20740,20200101,00.9799,00.9799,00.0000,,
20940,20200101,00.8928,00.8928,00.0000,,
20994,20200101,01.0465,01.0312,00.0000,,
21060,20200101,00.7943,00.7943,00.0000,,
21140,20200101,00.9368,00.9368,00.0000,,
21300,20200101,00.8643,00.8643,00.0000,,
21340,20200101,00.7766,00.7766,00.0000,,
21420,20200101,00.8751,00.8751,00.0000,,
21500,20200101,00.7676,00.7676,00.0000,,
21660,20200101,01.2311,01.1997,00.0000,,
21780,20200101,00.9171,00.8950,00.0000,,
21820,20200101,01.0749,01.0749,00.0000,,
22020,20200101,00.8071,00.8071,00.0000,,
