cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
01,20240101,0.7121,0.7121,0.0000,ALABAMA
03,20240101,1.0668,0.9441,0.0000,ARIZONA
02,20240101,1.1682,1.1682,0.0000,ALASKA
04,20240101,0.7988,0.7988,0.0000,ARKANSAS
05,20240101,1.5189,1.4917,0.0000,CALIFORNIA
06,20240101,1.0256,0.9445,0.0000,COLORADO
07,20240101,1.3164,1.1206,0.0000,CONNECTICUT
08,20240101,0.0000,0.0000,1.1169,DELAWARE
09,20240101,0.0000,0.0000,1.1522,DISTRICT OF COLUMBIA
10,20240101,0.9436,0.8478,0.0000,FLORIDA
11,20240101,0.8050,0.8050,0.0000,GEORGIA
12,20240101,1.3779,1.2488,0.0000,HAWAII
13,20240101,0.9331,0.9045,0.0000,IDAHO
14,20240101,0.9762,0.9597,0.0000,ILLINOIS
15,20240101,0.9179,0.9179,0.0000,INDIANA
16,20240101,0.8412,0.8403,0.0000,IOWA
17,20240101,0.8352,0.8352,0.0000,KANSAS
18,20240101,0.7827,0.7818,0.0000,KENTUCKY
19,20240101,0.7558,0.7558,0.0000,LOUISIANA
20,20240101,0.8507,0.8507,0.0000,MAINE
21,20240101,0.8113,0.8113,0.0000,MARYLAND
22,20240101,1.2425,1.1086,0.0000,MASSACHUSETTS
23,20240101,0.8820,0.8820,0.0000,MICHIGAN
24,20240101,0.9881,0.9422,0.0000,MINNESOTA
25,20240101,0.7032,0.7032,0.0000,MISSISSIPPI
26,20240101,0.7895,0.7877,0.0000,MISSOURI
27,20240101,1.0000,0.8231,0.0000,MONTANA
28,20240101,0.8633,0.8503,0.0000,NEBRASKA
29,20240101,1.2372,1.1982,0.0000,NEVADA
30,20240101,1.0290,0.9673,0.0000,NEW HAMPSHIRE
31,20240101,0.0000,0.0000,1.1944,NEW JERSEY
32,20240101,0.8814,0.8814,0.0000,NEW MEXICO
33,20240101,1.2181,1.2069,0.0000,NEW YORK
34,20240101,0.8803,0.8777,0.0000,NORTH CAROLINA
