county,adjustmentFactor,effectiveDate
01003,0.0110,20230101
01013,0.0336,20230101
01019,0.1017,20230101
01043,0.0583,20230101
01071,0.0600,20230101
01081,0.0315,20230101
01103,0.0422,20230101
01109,0.0088,20230101
01123,0.0280,20230101
01127,0.0670,20230101
05059,0.0861,20230101
05069,0.0131,20230101
06005,0.1084,20230101
06013,0.0066,20230101
06041,0.0158,20230101
06047,0.0302,20230101
06055,0.0959,20230101
06057,0.0971,20230101
06059,0.0027,20230101
06071,0.0028,20230101
06077,0.0469,20230101
06087,0.0327,20230101
06097,0.0211,20230101
06099,0.0477,20230101
06101,0.0494,20230101
06103,0.0115,20230101
08123,0.0066,20230101
09001,0.0168,20230101
09005,0.0017,20230101
09009,0.0028,20230101
10001,0.0046,20230101
12011,0.0007,20230101
12015,0.0108,20230101
12035,0.0125,20230101
12045,0.0013,20230101
12061,0.0112,20230101
12083,0.0054,20230101
12105,0.0110,20230101
12107,0.0176,20230101
12119,0.0255,20230101
13009,0.0224,20230101
13031,0.0086,20230101
13129,0.0366,20230101
13139,0.0016,20230101
13153,0.0479,20230101
13261,0.0144,20230101
13285,0.0248,20230101
16055,0.0290,20230101
16065,0.0050,20230101
16069,0.0324,20230101
17089,0.0076,20230101
17091,0.0256,20230101
17095,0.0009,20230101
17097,0.0050,20230101
17105,0.0109,20230101
17137,0.0188,20230101
17177,0.0454,20230101
18053,0.0145,20230101
18065,0.0611,20230101
18067,0.0025,20230101
18069,0.0500,20230101
18071,0.0249,20230101
18089,0.0207,20230101
18091,0.0068,20230101
18099,0.0588,20230101
18107,0.0329,20230101
18113,0.0444,20230101
19113,0.0199,20230101
19163,0.0048,20230101
20045,0.0243,20230101
20059,0.0395,20230101
21009,0.0119,20230101
21021,0.0117,20230101
21073,0.0480,20230101
21151,0.0406,20230101
21173,0.0572,20230101
21179,0.0324,20230101
22021,0.0218,20230101
22039,0.0191,20230101
22061,0.0114,20230101
22101,0.0095,20230101
22105,0.0047,20230101
22117,0.0462,20230101
22119,0.0459,20230101
23001,0.0156,20230101
23009,0.0101,20230101
24003,0.0076,20230101
24027,0.0174,20230101
24029,0.0704,20230101
24031,0.0563,20230101
24037,0.0254,20230101
24041,0.0161,20230101
26015,0.0438,20230101
26021,0.0244,20230101
26075,0.0509,20230101
26091,0.0956,20230101
26093,0.0579,20230101
26107,0.0170,20230101
26111,0.0074,20230101
26115,0.0623,20230101
26149,0.0437,20230101
26159,0.0493,20230101
26163,0.0152,20230101
27049,0.0969,20230101
27085,0.0183,20230101
27131,0.0634,20230101
27147,0.0455,20230101
28085,0.0207,20230101
28149,0.0096,20230101
29007,0.0178,20230101
29027,0.0015,20230101
29127,0.0178,20230101
29147,0.0270,20230101
29175,0.0337,20230101
29187,0.0183,20230101
29201,0.0061,20230101
