providerNumber,wageIndex
01B029,00.6880
01S007,00.6704
01S008,00.6704
01S009,00.6885
01S011,00.8036
01S012,00.7150
01S016,00.8036
01S021,00.6704
01S023,00.7459
01S033,00.8036
01S034,00.7459
01S039,00.8056
01S040,00.6704
01S046,00.6778
01S062,00.6849
01S069,00.6704
01S078,00.7542
01S085,00.6846
01S086,00.6704
01S089,00.8036
01S091,00.6704
01S092,00.8285
01S103,00.8036
01S104,00.8036
01S109,00.8285
01S110,00.6704
01S112,00.6704
01S113,00.7494
01S114,00.8036
01S125,00.6704
01S126,00.6786
01S129,00.7138
01S139,00.8036
01S143,00.6704
01S150,00.6880
01S157,00.6704
01S164,00.6704
01T011,00.8036
01T029,00.7435
01T033,00.8036
01T092,00.8285
01T100,00.7138
01T104,00.8036
01T113,00.7494
01T114,00.8036
01T139,00.8036
01T144,00.7494
01T157,00.6704
01U021,00.6704
01U059,00.6704
01U065,00.8703
01U095,00.8285
01U125,00.6704
01U130,00.8036
01U173,00.8036
010001,00.7848
010005,00.7845
010006,00.7197
010007,00.6704
010008,00.6823
010011,00.8036
010012,00.7150
010016,00.8036
010018,00.8036
010019,00.6704
010021,00.6704
010022,00.9208
010023,00.7459
010024,00.7845
010025,00.7435
010029,00.7775
010033,00.8036
010034,00.7459
010035,00.7845
010036,00.6704
010038,00.7542
010039,00.8056
010040,00.7845
010044,00.7845
010045,00.7845
010046,00.6778
010047,00.6880
010049,00.6704
010051,00.6704
010052,00.7009
010055,00.7684
010056,00.8036
010058,00.8036
010059,00.6846
010061,00.8331
010062,00.6849
010065,00.7845
010069,00.6704
010073,00.6704
010078,00.7845
010079,00.8056
010083,00.8030
010085,00.7902
010086,00.7845
010087,00.7494
010089,00.8036
010090,00.7494
010091,00.6869
010092,00.7845
010095,00.8285
010097,00.7459
010099,00.6704
010100,00.7287
010101,00.7845
010102,00.6704
010103,00.8036
010104,00.8036
010108,00.7459
010109,00.8285
010110,00.6704
010112,00.6704
010113,00.7494
010114,00.8036
010118,00.7845
010120,00.6704
010125,00.7845
010126,00.6786
010128,00.6869
010129,00.7287
010130,00.8036
010131,00.8056
010138,00.6841
010139,00.8036
010144,00.7494
010146,00.7542
010148,00.8030
010149,00.7459
010150,00.7459
010157,00.6846
010158,00.7197
010164,00.7025
010168,00.7932
010169,00.6704
010172,00.8056
010173,00.8036
011506,00.8036
011508,00.7542
011558,00.7494
011566,00.6846
011673,00.7459
011674,00.8056
011675,00.8036
011676,00.8056
011677,00.8285
011678,00.6704
011680,00.6704
011681,00.6704
011682,00.6846
012006,00.7494
012008,00.8036
012010,00.6849
013025,00.8036
013028,00.7459
013029,00.8056
013030,00.6849
013031,00.8036
013032,00.6778
013033,00.7932
013300,00.8036
013301,00.8285
014012,00.8285
014501,00.9178
014505,00.7459
014506,00.7651
014507,00.6704
014508,00.6846
014509,00.6704
014511,00.9178
014514,00.9178
014515,00.9178
014516,00.9178
014518,00.9178
014519,00.8011
014520,00.6704
014521,00.6704
014522,00.8056
014523,00.9178
014524,00.8390
014525,00.7651
014534,00.6704
014541,00.6704
014600,00.6704
014601,00.7459
014603,00.6704
014604,00.6704
014606,00.6704
014607,00.8036
014609,00.6849
014611,00.6704
014613,00.8056
014614,00.8036
014615,00.6846
014617,00.7494
014622,00.8036
014625,00.6704
014630,00.6704
014631,00.6704
014635,00.6849
014636,00.6849
014637,00.8285
014645,00.6704
014646,00.6704
014648,00.6704
014653,00.6704
014655,00.8285
014656,00.6704
014657,00.6704
014658,00.6704
014663,00.6704
014664,00.6704
014665,00.8036
014668,00.8036
014670,00.6704
014671,00.8036
014673,00.6704
014677,00.6704
014680,00.6704
014681,00.6704
014691,00.8056
014692,00.7138
014693,00.7138
014694,00.7459
014696,00.6849
014697,00.8036
014698,00.8036
014714,00.6704
014719,00.8285
014722,00.8285
014724,00.7494
014727,00.6704
014728,00.8285
014729,00.6704
017013,00.6704
017106,00.6704
017305,00.7542
017872,00.6704
02S008,01.2130
02T001,01.2130
02T017,01.2130
02U024,01.2130
020001,01.2130
020006,01.2130
020008,01.2130
020012,01.2130
020017,01.2130
020018,01.9343
020024,01.2130
020026,01.9343
021500,01.2130
021505,01.2130
021506,01.2130
021507,01.2130
024002,01.2130
03S002,01.0528
03S006,01.0528
03S007,01.0528
03S010,01.0528
03S011,01.0528
03S018,01.0528
03S022,01.0528
03S023,01.1117
03S037,01.0528
03S043,01.0528
03S065,01.0528
03S089,01.0528
03S093,01.0528
03S111,01.0528
03S114,01.0528
03S121,01.0528
03T002,01.0528
03T010,01.0528
03T011,01.0528
03T018,01.0528
03T024,01.0528
03T030,01.0528
03T037,01.0528
03T038,01.0528
03T055,01.0528
03T061,01.0528
03T069,01.0528
03T085,01.0528
03T088,01.0528
03T093,01.0528
03T103,01.0528
03T114,01.0528
03T117,01.0528
03U068,01.0528
03U137,01.0528
03Z307,01.0528
030001,01.0528
030002,01.0528
030006,01.0528
030007,01.0528
030010,01.0528
030011,01.0528
030012,01.0528
030013,01.0528
030014,01.0528
030016,01.0528
030022,01.0528
030023,01.1117
030024,01.0528
030030,01.0528
030033,01.0528
030036,01.0528
030037,01.0528
030038,01.0528
030043,01.0528
030055,01.0528
030061,01.0528
030062,01.0528
030064,01.0528
030065,01.0528
030068,01.0528
030069,01.1765
030071,01.4448
030073,01.4448
030074,01.4448
030077,01.4448
030078,01.4448
030083,01.0528
030084,01.4448
030085,01.0528
030087,01.0528
030088,01.0528
030089,01.0528
030092,01.0528
030093,01.0528
030094,01.0528
030101,01.0528
030103,01.0528
030105,01.0528
030107,01.0528
030108,01.0528
030110,01.0528
030111,01.0528
030112,01.0528
030113,01.4448
030114,01.0528
030115,01.0528
030117,01.0528
030118,01.0528
030119,01.0528
030120,01.0528
030121,01.0528
030122,01.0528
030123,01.0528
030130,01.0528
030131,01.0528
030132,01.0528
030134,01.0528
030135,01.0528
030136,01.0528
030137,01.0528
030138,01.0528
030139,01.0528
031500,01.0528
031501,01.0528
031502,01.0528
031505,01.0528
031508,01.0528
031512,01.1117
031514,01.0528
031515,01.0528
031517,01.0528
031519,01.0528
031520,01.0528
031521,01.0528
031522,01.0528
031523,01.0528
031529,01.0528
031530,01.0528
031536,01.0528
031537,01.0528
031538,01.0528
031540,01.0528
031543,01.0528
031547,01.0528
031548,01.0528
031550,01.0528
031551,01.0528
031552,01.0528
031554,01.0528
031555,01.0528
031556,01.0528
031557,01.0528
031559,01.0528
031560,01.0528
031561,01.0528
031562,01.0528
031563,01.0528
031564,01.0528
031565,01.0528
031566,01.0528
031568,01.0528
031569,01.0528
031570,01.0528
031571,01.0528
031572,01.0528
031573,01.0528
031574,01.0528
031575,01.0528
031576,01.0528
031577,01.0528
031578,01.0528
031579,01.6900
031580,01.0528
031581,01.0528
031582,01.0528
031583,01.0528
031584,01.0528
031585,01.0528
031586,01.0528
031587,01.0528
031588,01.0528
031589,01.0528
031590,01.0528
031591,01.0528
031592,01.0528
031593,01.0528
031594,01.1117
031595,01.0528
031596,01.0528
031597,01.0528
031598,01.0528
031599,01.0528
031600,01.0528
031601,01.0528
031602,01.0528
031603,01.0528
031604,01.0528
031605,01.0528
031606,01.0528
031607,01.0528
031608,01.0528
031609,01.0528
031610,01.0528
031611,01.0528
031612,01.0528
031613,01.0528
031614,01.0528
031615,01.0528
031616,01.0528
032000,01.0528
032001,01.0528
032004,01.0528
032005,01.0528
032006,01.0528
033025,01.0528
033028,01.0528
033029,01.0528
033032,01.0528
033036,01.0528
033037,01.0528
033038,01.0528
033039,01.0528
033040,01.0528
033041,01.1117
033302,01.0528
034004,01.0528
034013,01.0528
034021,01.0528
034022,01.0528
034024,01.0528
034026,01.0528
034028,01.0528
034030,01.0528
034031,01.0528
034032,01.0528
034509,01.0528
034512,01.0528
034515,01.0528
034518,01.0528
034520,01.0528
034521,01.0528
034523,01.0528
034524,01.0528
034682,01.0528
034684,01.0528
037030,01.0528
037255,01.0528
037256,01.0528
037257,01.0528
037258,01.0528
037259,01.0528
037260,01.0528
037261,01.0528
037262,01.0528
037263,01.0528
037264,01.0528
037265,01.0528
037266,01.1117
037267,01.0528
037268,01.0528
037269,01.0528
037270,01.0528
037271,01.0528
037272,01.0528
037273,01.0528
037274,01.0528
037275,01.0528
037276,01.0528
037277,01.0528
037278,01.0528
037279,01.0528
037280,01.0528
037281,01.0528
037282,01.0528
037283,01.0528
037284,01.0528
