apc,statusIndicator,effectiveDate,paymentRate,nationalCoinsurance,minimumCoinsurance
00701,K,20210101,002045.70,00409.15,00409.15
00726,K,20210101,000199.93,00039.99,00039.99
00731,K,20210101,000048.12,00009.63,00009.63
00736,K,20210101,000026.56,00005.32,00005.32
00738,K,20210101,000300.94,00060.19,00060.19
00751,K,20210101,000328.29,00065.66,00065.66
00752,K,20210101,001044.53,00208.91,00208.91
00759,K,20210101,000003.26,00000.66,00000.66
00800,K,20210101,001347.56,00269.52,00269.52
00802,K,20210101,000075.49,00015.10,00015.10
00807,K,20210101,004964.62,00992.93,00992.93
00810,K,20210101,000503.59,00100.72,00100.72
00812,K,20210101,002016.27,00403.26,00403.26
00820,K,20210101,000043.84,00008.77,00008.77
00825,K,20210101,000152.15,00030.44,00030.44
00836,K,20210101,000034.35,00006.87,00006.87
00840,K,20210101,000260.38,00052.08,00052.08
00843,K,20210101,019717.76,03943.56,03943.56
00844,K,20210101,002060.28,00412.06,00412.06
00850,K,20210101,000349.54,00069.91,00069.91
00851,K,20210101,000475.39,00095.08,00095.08
00856,K,20210101,021856.35,04371.28,04371.28
00858,K,20210101,000019.57,00003.92,00003.92
00864,K,20210101,000028.69,00005.74,00005.74
00874,K,20210101,000010.22,00002.05,00002.05
00875,K,20210101,000140.31,00028.07,00028.07
00877,K,20210101,000128.41,00025.69,00025.69
00887,K,20210101,000227.93,00045.59,00045.59
00890,K,20210101,002257.67,00451.54,00451.54
00901,K,20210101,000004.36,00000.88,00000.88
00902,K,20210101,000006.08,00001.22,00001.22
00903,K,20210101,001496.95,00299.40,00299.40
00910,K,20210101,000393.83,00078.77,00078.77
00925,K,20210101,000001.02,00000.21,00000.21
00927,K,20210101,000001.38,00000.28,00000.28
00928,K,20210101,000001.49,00000.30,00000.30
00929,K,20210101,000002.05,00000.42,00000.42
00931,K,20210101,000001.16,00000.24,00000.24
00932,K,20210101,000001.53,00000.31,00000.31
00943,K,20210101,000041.23,00008.25,00008.25
00944,K,20210101,000043.20,00008.65,00008.65
00946,K,20210101,000063.40,00012.69,00012.69
00947,K,20210101,000040.38,00008.08,00008.08
00948,K,20210101,000042.19,00008.44,00008.44
00961,K,20210101,000010.49,00002.10,00002.10
00963,K,20210101,000052.45,00010.49,00010.49
00964,K,20210101,000020.98,00004.20,00004.20
00965,K,20210101,000052.45,00010.49,00010.49
01015,K,20210101,000157.42,00031.49,00031.49
01064,K,20210101,000020.69,00004.14,00004.14
01083,K,20210101,001430.92,00286.19,00286.19
01138,K,20210101,000065.96,00013.20,00013.20
01139,K,20210101,000015.06,00003.02,00003.02
01142,K,20210101,040237.00,08047.41,08047.41
01150,K,20210101,000013.36,00002.68,00002.68
01168,K,20210101,000044.99,00009.00,00009.00
01178,K,20210101,000003.41,00000.69,00000.69
01203,K,20210101,000011.23,00002.25,00002.25
01207,K,20210101,000205.88,00041.18,00041.18
01213,K,20210101,000001.14,00000.23,00000.23
01214,K,20210101,000041.50,00008.31,00008.31
01232,K,20210101,000049.88,00009.98,00009.98
01235,K,20210101,001403.17,00280.64,00280.64
01236,K,20210101,000000.28,00000.06,00000.06
01237,K,20210101,000015.01,00003.01,00003.01
01263,K,20210101,000003.50,00000.71,00000.71
01268,K,20210101,000001.31,00000.27,00000.27
01274,K,20210101,005594.42,01118.89,01118.89
01281,K,20210101,000001.91,00000.39,00000.39
01289,K,20210101,000008.15,00001.63,00001.63
01295,K,20210101,017259.85,03451.98,03451.98
01296,K,20210101,000003.84,00000.77,00000.77
01297,K,20210101,000000.98,00000.20,00000.20
01311,K,20210101,000113.24,00022.65,00022.65
01312,K,20210101,000010.86,00002.18,00002.18
01327,K,20210101,000043.38,00008.68,00008.68
01331,K,20210101,000002.92,00000.59,00000.59
01340,K,20210101,000052.39,00010.48,00010.48
01341,K,20210101,000095.16,00019.04,00019.04
01352,K,20210101,000001.02,00000.21,00000.21
01353,K,20210101,000046.18,00009.24,00009.24
01408,K,20210101,000029.67,00005.94,00005.94
01413,K,20210101,000174.49,00034.90,00034.90
01415,K,20210101,000004.83,00000.97,00000.97
01416,K,20210101,000008.77,00001.76,00001.76
01417,K,20210101,001219.00,00243.80,00243.80
01420,K,20210101,000928.24,00185.65,00185.65
01421,K,20210101,000482.06,00096.42,00096.42
01426,K,20210101,000117.66,00023.54,00023.54
01431,K,20210101,005063.56,01012.72,01012.72
01433,K,20210101,002839.22,00567.85,00567.85
01440,K,20210101,000010.45,00002.10,00002.10
01442,K,20210101,000010.00,00002.00,00002.00
01443,K,20210101,000276.57,00055.32,00055.32
01446,K,20210101,000007.55,00001.52,00001.52
01458,K,20210101,000359.14,00071.83,00071.83
01466,K,20210101,003320.17,00664.04,00664.04
01467,K,20210101,000001.46,00000.30,00000.30
01468,K,20210101,000005.70,00001.14,00001.14
01469,K,20210101,000000.93,00000.19,00000.19
01471,K,20210101,000012.95,00002.59,00002.59
01472,K,20210101,000054.32,00010.87,00010.87
01474,K,20210101,000008.16,00001.64,00001.64
01475,K,20210101,000019.00,00003.80,00003.80
01476,K,20210101,000063.74,00012.75,00012.75
01478,K,20210101,000001.24,00000.25,00000.25
01480,K,20210101,000246.20,00049.24,00049.24
01482,K,20210101,000003.72,00000.75,00000.75
01485,K,20210101,000000.98,00000.20,00000.20
01486,K,20210101,000003.25,00000.66,00000.66
01488,K,20210101,000060.71,00012.15,00012.15
01489,K,20210101,000020.30,00004.06,00004.06
01490,K,20210101,000050.85,00010.17,00010.17
01491,S,20210101,000005.00,00001.01,00001.01
01492,S,20210101,000015.50,00003.10,00003.10
01493,S,20210101,000025.50,00005.11,00005.11
01494,S,20210101,000035.50,00007.11,00007.11
01495,S,20210101,000045.50,00009.10,00009.10
01496,T,20210101,000005.00,00001.01,00001.01
01497,T,20210101,000015.50,00003.10,00003.10
01498,T,20210101,000025.50,00005.11,00005.11
01499,T,20210101,000035.50,00007.11,00007.11
01500,T,20210101,000045.50,00009.10,00009.10
01502,S,20210101,000075.50,00015.11,00015.11
01503,S,20210101,000150.50,00030.10,00030.10
01504,S,20210101,000250.50,00050.11,00050.11
01505,S,20210101,000350.50,00070.10,00070.10
01506,S,20210101,000450.50,00090.10,00090.10
01507,S,20210101,000550.50,00110.11,00110.11
01508,S,20210101,000650.50,00130.11,00130.11
01509,S,20210101,000750.50,00150.10,00150.10
01510,S,20210101,000850.50,00170.10,00170.10
01511,S,20210101,000950.50,00190.11,00190.11
01512,S,20210101,001050.50,00210.11,00210.11
01513,S,20210101,001150.50,00230.10,00230.10
01514,S,20210101,001250.50,00250.10,00250.10
01515,S,20210101,001350.50,00270.11,00270.11
01516,S,20210101,001450.50,00290.11,00290.11
01517,S,20210101,001550.50,00310.10,00310.10
01518,S,20210101,001650.50,00330.10,00330.10
01519,S,20210101,001750.50,00350.11,00350.11
01520,S,20210101,001850.50,00370.10,00370.10
01521,S,20210101,001950.50,00390.10,00390.10
01522,S,20210101,002250.50,00450.10,00450.10
01523,S,20210101,002750.50,00550.10,00550.10
01524,S,20210101,003250.50,00650.11,00650.11
01525,S,20210101,003750.50,00750.10,00750.10
01526,S,20210101,004250.50,00850.10,00850.10
01527,S,20210101,004750.50,00950.11,00950.11
01528,S,20210101,005250.50,01050.10,01050.10
01529,S,20210101,005750.50,01150.10,01150.10
01530,S,20210101,006250.50,01250.11,01250.11
01531,S,20210101,006750.50,01350.10,01350.10
01532,S,20210101,007250.50,01450.10,01450.10
01533,S,20210101,007750.50,01550.11,01550.11
01534,S,20210101,008250.50,01650.10,01650.10
01535,S,20210101,008750.50,01750.10,01750.10
01536,S,20210101,009250.50,01850.11,01850.11
01537,S,20210101,009750.50,01950.10,01950.10
01539,T,20210101,000075.50,00015.11,00015.11
01540,T,20210101,000150.50,00030.10,00030.10
