cbsa,effectiveDate,geographicWageIndex,reclassifiedWageIndex,imputedFloorWageIndex,name
01,20230101,0.6551,0.6551,0,ALABAMA
02,20230101,1.1944,1.1944,0,ALASKA
03,20230101,1.0397,1.0397,0,ARIZONA
04,20230101,0.727,0.727,0,ARKANSAS
05,20230101,1.2534,1.1914,0,CALIFORNIA
06,20230101,1.0127,0.9258,0,COLORADO
07,20230101,0.9703,0.9703,1.1894,CONNECTICUT
08,20230101,0,0,1.0887,DELAWARE
09,20230101,0,0,1.138,DISTRICT OF COLUMBIA
10,20230101,0.8074,0.7644,0,FLORIDA
11,20230101,0.7492,0.7492,0,GEORGIA
12,20230101,1.1999,1.1999,0,HAWAII
13,20230101,0.7725,0.7725,0,IDAHO
14,20230101,0.8458,0.834,0,ILLINOIS
15,20230101,0.835,0.835,0,INDIANA
16,20230101,0.7843,0.7843,0,IOWA
17,20230101,0.7879,0.7879,0,KANSAS
18,20230101,0.7961,0.7961,0,KENTUCKY
19,20230101,0.6989,0.6989,0,LOUISIANA
20,20230101,0.8682,0.8642,0,MAINE
21,20230101,0.8485,0.8485,0,MARYLAND
22,20230101,1.2974,1.2635,0,MASSACHUSETTS
23,20230101,0.8251,0.8251,0,MICHIGAN
24,20230101,0.8988,0.8382,0,MINNESOTA
25,20230101,0.7382,0.7382,0,MISSISSIPPI
26,20230101,0.7805,0.7687,0,MISSOURI
27,20230101,1,0.8327,0,MONTANA
28,20230101,0.8637,0.8458,0,NEBRASKA
29,20230101,1.0449,1.0449,0,NEVADA
30,20230101,1.0545,1.0318,0,NEW HAMPSHIRE
31,20230101,0,0,1.1141,NEW JERSEY
32,20230101,0.8543,0.8255,0,NEW MEXICO
33,20230101,0.8515,0.8327,0,NEW YORK
34,20230101,0.8065,0.7943,0,NORTH CAROLINA
35,20230101,1,0.8244,0,NORTH DAKOTA
36,20230101,0.808,0.808,0,OHIO
37,20230101,0.764,0.764,0,OKLAHOMA
38,20230101,1.0318,0.995,0,OREGON
39,20230101,0.8336,0.8336,0,PENNSYLVANIA
40,20230101,0.3598,0.3598,0.3598,PUERTO RICO
41,20230101,0,0,1.136,RHODE ISLAND
42,20230101,0.7997,0.7997,0,SOUTH CAROLINA
43,20230101,1,0.8153,0,SOUTH DAKOTA
44,20230101,0.7149,0.7149,0,TENNESSEE
45,20230101,0.824,0.824,0,TEXAS
46,20230101,0.972,0.972,0,UTAH
47,20230101,0.9485,0.8771,0,VERMONT
49,20230101,0.786,0.7594,0,VIRGINIA
