county,adjustmentFactor,effectiveDate
1003,0.0140,20200101
1013,0.0299,20200101
1019,0.1030,20200101
1043,0.0408,20200101
1055,0.0149,20200101
1071,0.0599,20200101
1077,0.0217,20200101
1081,0.0303,20200101
1103,0.0332,20200101
1109,0.0082,20200101
1121,0.0469,20200101
1123,0.0305,20200101
1133,0.0389,20200101
5043,0.0218,20200101
5059,0.0529,20200101
5107,0.0027,20200101
5145,0.0129,20200101
6001,0.0233,20200101
6005,0.0867,20200101
6055,0.0688,20200101
6057,0.0714,20200101
6077,0.0478,20200101
6087,0.0042,20200101
6097,0.0195,20200101
6099,0.0402,20200101
6103,0.0058,20200101
6115,0.0919,20200101
8123,0.0050,20200101
9001,0.0024,20200101
9005,0.0017,20200101
9009,0.0013,20200101
10001,0.0225,20200101
12023,0.0243,20200101
12061,0.0061,20200101
12083,0.0111,20200101
12105,0.0105,20200101
12119,0.0293,20200101
13031,0.0086,20200101
13039,0.0611,20200101
13111,0.0031,20200101
13119,0.0177,20200101
13129,0.0404,20200101
13131,0.0143,20200101
13139,0.0006,20200101
13153,0.0552,20200101
13187,0.1000,20200101
13261,0.0212,20200101
13285,0.0286,20200101
16055,0.0351,20200101
16065,0.0207,20200101
16069,0.0331,20200101
17089,0.0179,20200101
17091,0.0296,20200101
17095,0.0098,20200101
17105,0.0129,20200101
18033,0.0305,20200101
18035,0.0021,20200101
18039,0.0042,20200101
18053,0.0220,20200101
18065,0.0679,20200101
18067,0.0104,20200101
18069,0.0183,20200101
18071,0.0299,20200101
18089,0.0211,20200101
18091,0.0054,20200101
18099,0.0399,20200101
18107,0.0397,20200101
18113,0.0287,20200101
19045,0.0107,20200101
19099,0.0447,20200101
19113,0.0311,20200101
19127,0.0169,20200101
19169,0.0002,20200101
20011,0.0035,20200101
20021,0.0121,20200101
20037,0.0028,20200101
20045,0.0125,20200101
20059,0.0509,20200101
21009,0.0017,20200101
21021,0.0160,20200101
21073,0.0563,20200101
21093,0.0091,20200101
21151,0.0448,20200101
21173,0.0632,20200101
21179,0.0375,20200101
22011,0.0080,20200101
22021,0.0349,20200101
22027,0.0259,20200101
22039,0.0232,20200101
22061,0.0188,20200101
22101,0.0116,20200101
22105,0.0003,20200101
22117,0.0437,20200101
23001,0.0220,20200101
23009,0.0305,20200101
23015,0.0221,20200101
24003,0.0100,20200101
24013,0.0028,20200101
24027,0.0081,20200101
24029,0.0720,20200101
24031,0.0144,20200101
24037,0.0178,20200101
24041,0.0112,20200101
24043,0.0242,20200101
26021,0.0152,20200101
26025,0.0165,20200101
26057,0.0266,20200101
26075,0.0265,20200101
26087,0.0209,20200101
26091,0.0876,20200101
26115,0.0358,20200101
26163,0.0215,20200101
27049,0.0995,20200101
27061,0.0136,20200101
27085,0.0281,20200101
27131,0.0820,20200101
27147,0.0489,20200101
28085,0.0204,20200101
29007,0.0175,20200101
29101,0.0564,20200101
29105,0.0042,20200101
29127,0.0179,20200101
29147,0.0256,20200101
29175,0.0200,20200101
29187,0.0172,20200101
29213,0.0039,20200101
31053,0.0092,20200101
32510,0.0011,20200101
33011,0.0203,20200101
33015,0.0325,20200101
34007,0.0082,20200101
34009,0.0316,20200101
34011,0.0131,20200101
34013,0.0387,20200101
34021,0.0242,20200101
34027,0.0276,20200101
34041,0.0883,20200101
35039,0.0619,20200101
35047,0.0548,20200101
36011,0.0428,20200101
36021,0.0886,20200101
36079,0.1062,20200101
36081,0.0060,20200101
36091,0.0005,20200101
36105,0.1278,20200101
36111,0.1315,20200101
37001,0.0751,20200101
37007,0.0340,20200101
37031,0.0078,20200101
37035,0.0093,20200101
37045,0.0348,20200101
37061,0.0122,20200101
37077,0.0943,20200101
37105,0.0433,20200101
37107,0.0207,20200101
37125,0.0142,20200101
37155,0.0061,20200101
37183,0.0111,20200101
37195,0.0368,20200101
39011,0.0467,20200101
39023,0.0143,20200101
39031,0.0275,20200101
39063,0.0148,20200101
39077,0.0123,20200101
39081,0.0047,20200101
39083,0.0590,20200101
39091,0.0333,20200101
39101,0.0351,20200101
39119,0.0159,20200101
39143,0.0144,20200101
39149,0.0384,20200101
39151,0.0041,20200101
39153,0.0137,20200101
39155,0.0065,20200101
39161,0.0213,20200101
39169,0.0118,20200101
40013,0.0305,20200101
40041,0.0126,20200101
40101,0.0117,20200101
40115,0.0025,20200101
40125,0.0374,20200101
40147,0.0116,20200101
41003,0.0028,20200101
41033,0.0016,20200101
41043,0.0168,20200101
41047,0.0090,20200101
42011,0.0058,20200101
42015,0.0129,20200101
42021,0.0151,20200101
42029,0.0296,20200101
42035,0.0352,20200101
42063,0.0135,20200101
42071,0.0100,20200101
42075,0.0117,20200101
42089,0.0657,20200101
42091,0.0392,20200101
42095,0.0286,20200101
42097,0.0763,20200101
42107,0.0522,20200101
42117,0.0172,20200101
42119,0.0297,20200101
42127,0.0422,20200101
42133,0.0015,20200101
45029,0.0097,20200101
45043,0.0050,20200101
45053,0.0011,20200101
45073,0.0236,20200101
45075,0.0067,20200101
45083,0.0049,20200101
45085,0.0044,20200101
47003,0.0633,20200101
47011,0.0379,20200101
47017,0.0073,20200101
47031,0.0181,20200101
47053,0.0174,20200101
47055,0.0639,20200101
47069,0.0620,20200101
47075,0.0684,20200101
47077,0.0164,20200101
47089,0.0041,20200101
47099,0.1064,20200101
47107,0.0054,20200101
47125,0.0399,20200101
47163,0.0015,20200101
47177,0.0240,20200101
47183,0.0066,20200101
48025,0.0190,20200101
48053,0.0183,20200101
48091,0.0134,20200101
48097,0.0543,20200101
48135,0.0095,20200101
